S-Vw4 EKF POSITION EVALUATION
======================================================================

RAW S-Vw4 REFERENCE
         period  samples  mean_error_m  median_error_m   rmse_m  p95_error_m  max_error_m
BEFORE BLACKOUT    50590       24.0521         13.6775  39.1882      76.6651     282.0144
DURING BLACKOUT      200      195.8210        139.3802 228.6675     365.4434     369.9355
 AFTER BLACKOUT    75687      107.1229        112.8080 110.0086     129.4269     285.9047
        OVERALL   126477       74.0353         91.9877  89.1013     124.5696     369.9355

CLEANED S-Vw4 REFERENCE
         period  samples  mean_error_m  median_error_m   rmse_m  p95_error_m  max_error_m
BEFORE BLACKOUT    50590       23.1758         13.6745  36.3500      69.8982     255.9123
DURING BLACKOUT      200      194.6076        138.9395 227.5516     364.9996     369.5014
 AFTER BLACKOUT    75687      106.5767        112.7490 109.3428     127.7763     269.1926
        OVERALL   126477       73.3560         90.4826  88.1197     123.7935     369.5014

GPS JUMP DETECTION
Threshold: 50.00 m
Detected jumps: 1210
GPS jump: 12410 -> 12510 ms; dt=0.100 s; distance=58.557 m
GPS jump: 21410 -> 21510 ms; dt=0.100 s; distance=77.621 m
GPS jump: 30310 -> 30409 ms; dt=0.099 s; distance=75.537 m
GPS jump: 39410 -> 39509 ms; dt=0.099 s; distance=113.542 m
GPS jump: 85310 -> 85410 ms; dt=0.100 s; distance=57.326 m
GPS jump: 94310 -> 94410 ms; dt=0.100 s; distance=107.509 m
GPS jump: 103210 -> 103309 ms; dt=0.099 s; distance=106.502 m
GPS jump: 112310 -> 112410 ms; dt=0.100 s; distance=108.676 m
GPS jump: 121310 -> 121410 ms; dt=0.100 s; distance=101.332 m
GPS jump: 130310 -> 130410 ms; dt=0.100 s; distance=141.785 m
GPS jump: 139309 -> 139410 ms; dt=0.101 s; distance=154.654 m
GPS jump: 148310 -> 148410 ms; dt=0.100 s; distance=134.632 m
GPS jump: 157310 -> 157410 ms; dt=0.100 s; distance=79.657 m
GPS jump: 166309 -> 166410 ms; dt=0.101 s; distance=56.737 m
GPS jump: 175410 -> 175510 ms; dt=0.100 s; distance=73.679 m
GPS jump: 184310 -> 184409 ms; dt=0.099 s; distance=104.791 m
GPS jump: 193310 -> 193410 ms; dt=0.100 s; distance=123.124 m
GPS jump: 202309 -> 202410 ms; dt=0.101 s; distance=114.240 m
GPS jump: 220410 -> 220509 ms; dt=0.099 s; distance=68.591 m
GPS jump: 238311 -> 238410 ms; dt=0.099 s; distance=74.849 m
GPS jump: 247310 -> 247410 ms; dt=0.100 s; distance=52.871 m
GPS jump: 256309 -> 256410 ms; dt=0.101 s; distance=69.752 m
GPS jump: 265409 -> 265510 ms; dt=0.101 s; distance=91.262 m
GPS jump: 274410 -> 274509 ms; dt=0.099 s; distance=87.999 m
GPS jump: 283410 -> 283509 ms; dt=0.099 s; distance=78.704 m
GPS jump: 292310 -> 292410 ms; dt=0.100 s; distance=81.081 m
GPS jump: 321215 -> 321310 ms; dt=0.095 s; distance=86.281 m
GPS jump: 330409 -> 330510 ms; dt=0.101 s; distance=94.074 m
